Episode,Score,Epsilon,Total Reward
1,0,1.0000,-0.27
2,0,0.9950,-0.32
3,0,0.9900,-0.30
4,0,0.9851,-0.30
5,0,0.9801,-0.28
6,0,0.9752,-0.31
7,0,0.9704,-0.31
8,0,0.9655,-0.31
9,0,0.9607,-0.31
10,0,0.9559,-0.31
11,0,0.9511,-0.32
12,0,0.9464,-0.29
13,0,0.9416,-0.31
14,0,0.9369,-0.28
15,0,0.9322,-0.31
16,0,0.9276,-0.32
17,0,0.9229,-0.29
18,0,0.9183,-0.33
19,0,0.9137,-0.32
20,0,0.9092,-0.30
21,0,0.9046,-0.31
22,0,0.9001,-0.32
23,0,0.8956,-0.31
24,0,0.8911,-0.32
25,0,0.8867,-0.31
26,0,0.8822,-0.32
27,0,0.8778,-0.32
28,0,0.8734,-0.32
29,0,0.8691,-0.30
30,0,0.8647,-0.32
31,0,0.8604,-0.29
32,0,0.8561,-0.30
33,0,0.8518,-0.30
34,0,0.8475,-0.29
35,0,0.8433,-0.30
36,0,0.8391,-0.31
37,0,0.8349,-0.31
38,0,0.8307,-0.31
39,0,0.8266,-0.31
40,0,0.8224,-0.32
41,0,0.8183,-0.32
42,0,0.8142,-0.30
43,0,0.8102,-0.31
44,0,0.8061,-0.32
45,0,0.8021,-0.29
46,0,0.7981,-0.30
47,0,0.7941,-0.28
48,0,0.7901,-0.28
49,0,0.7862,-0.24
50,0,0.7822,-0.28
51,0,0.7783,-0.28
52,0,0.7744,-0.32
53,0,0.7705,-0.31
54,0,0.7667,-0.30
55,0,0.7629,-0.24
56,0,0.7590,-0.28
57,0,0.7553,-0.32
58,0,0.7515,-0.32
59,0,0.7477,-0.30
60,0,0.7440,-0.31
61,0,0.7403,-0.31
62,0,0.7366,-0.30
63,0,0.7329,-0.32
64,0,0.7292,-0.32
65,0,0.7256,-0.28
66,0,0.7219,-0.32
67,0,0.7183,-0.27
68,0,0.7147,-0.30
69,0,0.7112,-0.29
70,0,0.7076,-0.31
